AllIndex,AllClass
0.1589833306084351,Low
0.3327959553724978,High
0.3258836627926084,High
0.2298685883322543,Low
0.3923918299156067,High
0.32780772555493953,High
0.4814634071318037,High
0.42970890774036974,High
0.286920050938844,Low
0.3222571316132161,High
0.2891562639039811,Low
0.15258741580452395,Low
0.2773266716625115,Low
0.31517348345409923,High
0.43573882155415317,High
0.2975167312347605,Low
0.20930921782291795,Low
0.30493057979497734,High
0.3344240815785682,High
0.3230502379979175,High
0.2940473098476499,Low
0.45012322231767543,High
0.3189375419574752,High
0.28519118113875636,Low
0.21675859023745175,Low
0.15853659703705567,Low
0.30391851580525486,High
0.2715730712571403,Low
0.1884791303171659,Low
0.5118533583758502,High
0.08739846653992905,Low
0.06906032401613023,Low
0.44973975941274047,High
0.3522393236515116,High
0.4330983238062262,High
0.19353653054653397,Low
0.15335697264666664,Low
0.21147160085498987,Low
0.4281147145206541,High
0.23116704618416803,Low
0.3963648662819863,High
0.32734722859995036,High
0.36970868653322914,High
0.384374579364765,High
0.4681764225521938,High
0.202035182508517,Low
0.26946756259197324,Low
0.3866118506694208,High
0.28309914064867414,Low
0.30090821965447806,High
0.18656317593887026,Low
0.14722577245960422,Low
0.4007008153190739,High
0.1565838792996461,Low
0.21547703527258838,Low
0.3405567592987365,High
0.48470433189287865,High
0.46357198433194957,High
0.2616739544856642,Low
0.19732994946077298,Low
0.30719971430614024,High
0.4463677862892247,High
0.27116990264355695,Low
0.39088925079283543,High
0.26326531667146885,Low
0.19161051008909627,Low
0.15511077228736173,Low
0.30306018370304333,High
0.12785974139603334,Low
0.3177562657392062,High
0.36197821878354464,High
0.3704277685169567,High
0.3200169865961521,High
0.3574782383649254,High
0.29397590097835324,Low
0.2651666295127951,Low
0.4030861185180884,High
0.43010941605664615,High
0.4360556731537303,High
0.32268709198511725,High
0.4513292123919844,High
0.3126209378006371,High
0.32557600752440047,High
0.2698505542255393,Low
0.16129385605662988,Low
0.43172813938717436,High
0.3017546889925137,High
0.34532504679374665,High
0.3154406091653475,High
0.2528648844033953,Low
0.3695979717708913,High
0.27205207336308046,Low
0.16107982439289287,Low
0.16172511948913226,Low
0.23818567195950444,Low
0.3690971074692261,High
0.3752658362717867,High
0.182966100296378,Low
0.2193857307240048,Low
0.3682063487061711,High
0.31285188669818315,High
0.20098442909427056,Low
0.3245833325433308,High
0.2209925942469738,Low
0.2570006667034609,Low
0.37193241618727974,High
0.29663083751394803,Low
0.29002148743569334,Low
0.3098479533243526,High
0.3417437456733116,High
0.22315518352619831,Low
0.2163100151173564,Low
0.31189928926384863,High
0.2863479780414071,Low
0.45139327922541117,High
0.4625406583801713,High
0.3137560810731065,High
0.14881661405291574,Low
0.06372718720235296,Low
0.2808715364796548,Low
0.5201535248549473,High
0.32485613655827705,High
0.2546600439514612,Low
0.37582191417570066,High
0.1687010760042373,Low
0.3427889412946369,High
0.38087535059740374,High
0.2855205293087942,Low
0.3917346575091635,High
0.4305952376624809,High
0.25751281876437976,Low
0.35557182605202337,High
0.3767125547102136,High
0.25222524934691526,Low
0.3594280759005743,High
0.28084149444660195,Low
0.3417702204443322,High
0.1428894229090071,Low
0.4055149436247446,High
0.3633686597767355,High
0.3904534398164631,High
0.23321372942399132,Low
0.010685367003252651,Low
0.20296085791162097,Low
0.025091891099950425,Low
0.4354229097277985,High
0.3197418673032541,High
0.17239589253797036,Low
0.31360414915402846,High
0.5036696357253401,High
0.44001586199255716,High
0.132454539984391,Low
0.4087751381895989,High
0.27154611881509483,Low
0.18132587525637062,Low
0.33052214722988466,High
0.26841792220988714,Low
0.23380426128142942,Low
0.3114989427305663,High
0.32773555032141954,High
0.34965876630106923,High
0.25200740006890454,Low
0.17742437244456083,Low
0.3302676483415786,High
0.3637742156215062,High
0.4053569075265525,High
0.4614159243638147,High
0.4395469833711957,High
0.31704792469809356,High
0.28239654115231133,Low
0.3496339169649717,High
0.06458004614556553,Low
0.2311671365748949,Low
0.17948501359360275,Low
