PoliticIndex,PoliticClass
0.055732759508292776,Low
0.40328812705364336,High
0.401768092985972,High
0.2567896738456214,Low
0.35874842897114834,Low
0.46462242485096805,High
0.6535502906441125,High
0.5346064675019291,High
0.33709440325666445,Low
0.4970931281658611,High
0.41163401945966166,High
0.24195511461310784,Low
0.5233638914938746,High
0.2916333221639161,Low
0.562245657797366,High
0.40620444813402024,High
0.27019281233132036,Low
0.46403345911989097,High
0.34482370144324453,Low
0.34878595850115957,Low
0.550980170623558,High
0.3979719531045663,High
0.5073342350626421,High
0.46068527958092964,High
0.36145872953987696,Low
0.1897040747496124,Low
0.39019184157097536,High
0.2822158089035345,Low
0.07893448304696904,Low
0.6057836856444009,High
0.13920314213161877,Low
0.17108369368430584,Low
0.5602064386973493,High
0.29813640106186956,Low
0.4970222887535874,High
0.2386723590277408,Low
0.12192060653858493,Low
0.22997520341635422,Low
0.4968293508231352,High
0.3002575371783527,Low
0.5545768970004068,High
0.3199005951333878,Low
0.5470306503957312,High
0.5553862011233996,High
0.6390956813525535,High
0.2907538508317879,Low
0.3297771042464643,Low
0.4427501033499067,High
0.2842504972849707,Low
0.3771046770703954,High
0.14568667654726505,Low
0.008043235382412278,Low
0.6274646570942576,High
0.32273022857271855,Low
0.18707552367787567,Low
0.4252994265731735,High
0.6872089316173469,High
0.6116902672022946,High
0.273182665496257,Low
0.2896432528954904,Low
0.46445817478191753,High
0.602592692520785,High
0.3078060836410031,Low
0.5672167200341235,High
0.2339162294240441,Low
0.2554085818165391,Low
0.21193906378508906,Low
0.36749099618250247,Low
0.1276095753128632,Low
0.3283103806115706,Low
0.4863447289887894,High
0.6374533039894728,High
0.40501687240576173,High
0.32210807821259413,Low
0.2402094860512477,Low
0.226198564186167,Low
0.42596714699201615,High
0.6518592107408036,High
0.5142652346618385,High
0.4507606271514422,High
0.5684043729004299,High
0.4900721297650655,High
0.30486337412971193,Low
0.31931944985643446,Low
0.002353569641008929,Low
0.6197303232126519,High
0.3347680985828919,Low
0.5406118937829146,High
0.2845650937964165,Low
0.23619520205364622,Low
0.5599680037661897,High
0.2975396791613335,Low
0.3653400130622889,Low
0.23660563044535357,Low
0.05540159177020816,Low
0.5681530454340004,High
0.5144069501367283,High
0.23894938181356237,Low
0.3306404965077469,Low
0.4051404303006305,High
0.41152259186996093,High
0.27230103134621886,Low
0.4211562459496052,High
0.30803850467340144,Low
0.13608039565765434,Low
0.31496395748919237,Low
0.3014366039744301,Low
0.3477111179832421,Low
0.44573260601547243,High
0.44211974898127404,High
0.3012732298242528,Low
0.21856767816313877,Low
0.5188458211485704,High
0.29849913208511897,Low
0.6238961902519251,High
0.6316970221017724,High
0.23126825275699897,Low
0.31324435834215086,Low
0.0792799533254534,Low
0.42964858437663445,High
0.6642967909285109,High
0.519739123406866,High
0.3197233905334298,Low
0.4493488881480549,High
0.22013898454542638,Low
0.34049514026873656,Low
0.3825015179155935,High
0.3104963408588268,Low
0.5313218836359969,High
0.594637231090702,High
0.5335053634283917,High
0.48673642938462175,High
0.36710576809233375,Low
0.3531812241937355,Low
0.44634057114955983,High
0.38407525732455333,High
0.4479000551055354,High
0.24248049178578915,Low
0.5888516548686176,High
0.5297944664418528,High
0.5282400970442704,High
0.37747213321530504,High
0.003946841967443998,Low
0.39709807097911254,High
0.0008578774649495857,Low
0.5374591753988035,High
0.3855211566518115,High
0.1396020423532891,Low
0.41696358176434023,High
0.6307626724206566,High
0.5356597269788962,High
0.013107952806139172,Low
0.5467084810124847,High
0.1950204964024838,Low
0.2895025290868468,Low
0.3501647856788321,Low
0.3334928208069842,Low
0.2990173668513095,Low
0.40114568853839144,High
0.4378667831521521,High
0.37579824932473294,High
0.054295241916882724,Low
0.28685776365806925,Low
0.40462352345998565,High
0.4407424738933183,High
0.6533749991489591,High
0.671201739992408,High
0.5801539054362528,High
0.2852236861136662,Low
0.05021380938009148,Low
0.35186815618074085,Low
0.036647693894272325,Low
0.32783887237172105,Low
0.041049288640767415,Low
