HumanIndex,HumanClass
0.2742134609414046,Low
0.5798427496184462,High
0.5033218995070432,High
0.31105455921413483,Low
0.6170047521792393,High
0.5453693187206987,High
0.658061151869627,High
0.6477967292608577,High
0.5028402903551563,High
0.5329394797868714,High
0.4777586927057798,High
0.09495507004531249,Low
0.5830447633959208,High
0.5733047429149349,High
0.7066835566127008,High
0.5421730553456813,High
0.3036416738962393,Low
0.49514232199575114,High
0.5868924250981464,High
0.5562675969767078,High
0.40444359349453934,Low
0.565601749286856,High
0.4882414587956667,High
0.4899848895063962,High
0.20930270819048594,Low
0.2459739964119741,Low
0.5913409753159473,High
0.4158627816036009,Low
0.3323209059707364,Low
0.6421162116051589,High
0.0014574239800994807,Low
0.022956594513782513,Low
0.6227436437013965,High
0.5409200893118832,High
0.5949125759182088,High
0.33491763245186007,Low
0.17504135673726123,Low
0.3018308875688047,Low
0.7422254836918069,High
0.35201161914899076,Low
0.6397380176049089,High
0.6439020392197121,High
0.5869682158319279,High
0.5080870700669917,High
0.7195961435556691,High
0.31501063780159055,Low
0.5545146318668709,High
0.6244286861704756,High
0.44721560646297115,Low
0.5474150267507489,High
0.2728313343363237,Low
0.30252046036973773,Low
0.6006672485900079,High
0.30059489436797665,Low
0.37254085378936724,Low
0.555503952973144,High
0.7248988276242492,High
0.6528692560414734,High
0.4062797711132992,Low
0.2997741655519856,Low
0.5440339540609044,High
0.6132635070700817,High
0.4391444025911339,Low
0.6160691330188336,High
0.4327756095381269,Low
0.21821434233022155,Low
0.1754828481980144,Low
0.5327439690015687,High
0.06082429334180486,Low
0.5353789013395839,High
0.5478460224661503,High
0.7171412227135257,High
0.43510537009947803,Low
0.49766377021418867,High
0.39210567348620606,Low
0.4330289086445468,Low
0.6014155294984271,High
0.6830870626429312,High
0.6774938725482029,High
0.5050365120782824,High
0.5828132382503963,High
0.4356382915591433,Low
0.515948132317151,High
0.4559826501039535,Low
0.48753383733144157,High
0.5877871932604805,High
0.5690852907975855,High
0.3938082962707809,Low
0.5643612401433731,High
0.3720179983024998,Low
0.536203702309884,High
0.41960593904250904,Low
0.32774646687157705,Low
0.22080150841543036,Low
0.4809896018611428,High
0.5256787088405004,High
0.5420657599417841,High
0.31256604357442896,Low
0.2817081775715414,Low
0.5106840359759016,High
0.5206851403630007,High
0.23223996644326844,Low
0.6007126227394761,High
0.3075797574808504,Low
0.5205145647549083,High
0.6300513912538164,High
0.5930740305493784,High
0.35525608623189564,Low
0.5409565018427431,High
0.5718311710146292,High
0.30865390946085386,Low
0.34223793453185697,Low
0.5032743043458361,High
0.5339381661281738,High
0.7150251976674562,High
0.7252161063673005,High
0.568254570306742,High
0.006302218503012133,Low
0.0085296861686529,Low
0.5606680666505791,High
0.76137378799061,High
0.42017968808831885,Low
0.33088148923791477,Low
0.5361645603742309,High
0.05861790850325843,Low
0.49548463939035586,High
0.6301918453049222,High
0.5352895990426036,High
0.6042328698425588,High
0.6413190948947854,High
0.06727906216505053,Low
0.49130994731201694,High
0.4929502077017105,High
0.38066852288897396,Low
0.6439870463758897,High
0.3980492703244692,Low
0.6014898806858981,High
0.2518606707738785,Low
0.6452756333763359,High
0.5631738460360936,High
0.632414314188277,High
0.43830559938460667,Low
0.0017234749707396306,Low
0.4889852599889099,High
0.001691068285406989,Low
0.6285634529801323,High
0.40729809276863255,Low
0.23377880672452306,Low
0.5353686063253701,High
0.7732106589330348,High
0.6466450824937472,High
0.3698658364835115,Low
0.587564665046487,High
0.5776863215698308,High
0.052608913299436975,Low
0.5231972242162637,High
0.5353302901508256,High
0.3667261627219367,Low
0.508295225475684,High
0.5422810413026818,High
0.5671802002247562,High
0.45741587598043276,Low
0.0600950401615716,Low
0.5552287708211334,High
0.6279097349187018,High
0.6827765374331585,High
0.5739754834065554,High
0.6384281225693593,High
0.5970318726526829,High
0.5235539372075559,High
0.5590686742669491,High
0.00848811270419673,Low
0.32500417133746834,Low
0.33532127239109644,Low
