Country,SNE1_X,SNE1_Y,SNE2_X,SNE2_Y,BeeSwarm1,BeeSwarm2
Cambodia,-7.619972,6.5232286,-54.76358248,10.73168395,0.623362126,0.146214601
Cameroon,-10.457029,9.036789,-25.55846689,-0.712811273,0.804994568,0.096182908
Canada,-11.890862,11.303767,-119.2288745,-0.055892852,0.902954367,0.524617787
Cayman Islands,8.921168,-17.424658,3.947118958,-6.138699623,0.811708368,0.273558917
Central African Republic,-0.30975044,-1.87473,-0.237090008,-28.91972297,0.840662614,0.156713437
Chad,-8.089038,6.6013775,1.537483408,11.58811385,0.942239932,0.416302502
Channel Islands,7.5204945,-15.567947,-3.934850341,58.53973806,0.965958182,0.74342084
Chile,-8.51746,7.3231955,13.29054312,51.68081277,0.702226699,0.658705686
China,-11.542933,15.250616,0.150875666,-5.328305481,0.956752529,0.065721472
Colombia,-13.653279,11.978401,-13.74012386,-104.1437143,0.791538445,0.756764029
Comoros,5.039134,-11.167249,2.25744985,0.304294483,0.674303819,0.619547399
"Congo, Dem. Rep.",-15.397004,14.09415,22.2408623,0.27723099,0.99889627,0.346410813
"Congo, Rep.",-0.8205761,-1.5507516,-0.234009056,1.406540405,0.790024763,0.610074066
Costa Rica,-0.62183666,-2.7016032,2.42433595,1.739354082,0.556607691,0.218813578
Cote d'Ivoire,-10.542981,9.077406,-0.494538325,-23.03446086,0.074534804,0.689267762
Croatia,0.7932309,-4.439757,0.169021089,-16.91810246,0.726190524,0.608104456
Cuba,-4.8703737,3.9425113,0.895774894,4.663061266,0.908519805,0.11858613
Curacao,7.638911,-15.951858,6.314956297,16.89354671,0.856674756,0.549907474
Cyprus,4.09324,-9.7139635,-0.435981551,-0.109513004,0.990917657,0.535339917
Czechia,-4.3603888,3.5155122,-43.0687774,28.32894274,0.999417478,0.894725
Denmark,-1.1748698,-1.7625766,-0.284499903,-6.834737775,0.99988115,0.084946569
Djibouti,4.357866,-10.1549,0.252275269,3.104292846,0.913639188,0.428491978
Dominica,8.847477,-17.359875,-84.80306868,-2.352413752,0.482610631,0.934879861
Dominican Republic,-5.2028346,3.5194185,-3.477679336,-13.54771726,0.996458646,0.455299404
Ecuador,-7.9496484,7.0575714,-12.21467186,1.935993932,0.748502812,0.543889562
"Egypt, Arab Rep.",-15.491767,14.525327,-1.546796894,-12.71220003,0.949546261,0.732645827
El Salvador,-1.4803678,-1.3724122,1.537483408,2.200870901,0.970941046,0.377459545
Equatorial Guinea,3.4638333,-8.6784115,-1.808372898,-0.495481007,0.976232413,0.145590767
Eritrea,1.1147529,-4.9598064,1.668152969,41.74338065,0.54362587,0.851439909
Estonia,3.921213,-9.439636,11.58538163,4.207752998,0.93690931,0.395042908
Eswatini,4.196754,-9.885042,24.95520097,-4.42340991,0.965772465,0.523711665
Ethiopia,-15.488772,14.823176,-5.928771281,1.156993355,0.963279561,0.804039855
Faroe Islands,8.154551,-18.30518,6.570937815,0.041101071,0.526287898,0.037301833
Fiji,4.7468367,-10.772755,-43.0687774,-3.124973723,0.983127627,0.387924123
Finland,-0.5817379,-1.8917916,0.623701371,16.89354671,0.648756407,0.117469621
France,-14.721457,12.845516,-6.064462456,-0.069910989,0.999594167,0.016045458
French Polynesia,6.669416,-14.070196,-58.89861101,-0.020844754,0.923156607,0.069845861
Gabon,2.659487,-6.9559264,-38.86703748,38.33538356,0.593917992,0.22294507
"Gambia, The",2.0445518,-6.74645,0.1544525,-2.034330471,0.790160371,0.535723742
Georgia,0.9968814,-4.7962976,5.89557451,53.99209834,0.542899024,0.817853869
Germany,-15.176434,13.568956,-12.07760349,27.2041868,0.666636621,0.214679619
Ghana,-11.601632,9.752942,0.327798951,-13.41962188,0.988376564,0.629645615
Gibraltar,9.568324,-18.203419,0.032711767,6.26814789,0.660981432,0.425051146
Greece,-4.573947,3.5169146,28.77314359,-2.656311085,0.991742347,0.056008195
Greenland,7.3931394,-19.146746,0.40815423,-34.30794831,0.792896676,0.829274795
Grenada,8.121058,-16.291142,3.463048011,5.978802519,0.939051742,0.322540697
Guam,7.5327845,-15.61026,-0.211984249,-104.1437143,0.768272485,0.211011156
Guatemala,-7.691543,6.853205,-0.659262779,4.175570221,0.774064032,0.982721898
Guinea,-6.126786,4.9406285,4.044049078,-3.621193676,0.911458299,0.344626888
Guinea-Bissau,2.8476727,-7.6637974,2.125265766,22.96805388,0.920012796,0.39229164
Guyana,4.821107,-11.3351,16.90291422,-18.19115962,0.96443019,0.521707041
Haiti,-5.336234,3.7389922,-19.06078136,-1.020179066,0.530561139,0.43875381
Honduras,-4.7345624,2.9468458,-0.071836198,13.99607538,0.873056874,0.171348934
"Hong Kong SAR, China",-2.17867,-0.006949345,-0.540937635,-0.105285811,0.985676746,0.616396746
Hungary,-4.3666234,2.561152,-20.62981095,0.548504488,0.874451562,0.354014356
Iceland,6.307305,-13.4878,-0.37385736,15.59057259,0.819955239,0.181954034
India,-11.541798,15.250918,0.44794499,2.530969229,0.990679511,0.122087554
Indonesia,-14.653314,16.499998,-1.886841559,0.856837194,0.900052163,0.028903615
"Iran, Islamic Rep.",-15.283076,13.782377,-1.142948641,0.307284607,0.930676302,0.449746585
Iraq,-13.068454,11.0293,-19.62843349,2.066127504,0.87877411,0.953383757
Ireland,-0.39385673,-2.7940602,29.33754439,-83.46641183,0.888256328,0.722035157
Isle of Man,8.443889,-17.292679,-4.310619749,2.200870901,0.609371039,0.234118795
Israel,-3.838518,2.5615635,2.106034562,1.338112628,0.999515497,0.346813689
Italy,-14.323614,12.325043,-29.29989001,-1.224920757,0.956590433,0.236187953
Jamaica,1.7486153,-6.3008046,3.084714446,5.258734653,0.959954361,0.394519633
Japan,-15.4733925,14.953343,-0.598758534,-100.0183526,0.982339297,0.331359829
Jordan,-4.762087,3.911609,0.75813879,-83.46641183,0.315231127,0.192805931
Kazakhstan,-8.6825075,6.99507,47.73963958,-2.356971374,0.825700292,0.978779594
Kenya,-13.980679,11.88789,0.137369977,-2.352413752,0.741544728,0.425746949
Kiribati,7.875512,-16.321486,1.547318404,-0.964665298,0.515888887,0.564309227
"Korea, Dem. People's Rep.",-10.183971,8.74249,-0.756818315,32.61871239,0.376483636,0.07580836
"Korea, Rep.",-13.909554,11.751722,2.082115546,-0.459584689,0.997824798,0.124530358
Kosovo,3.2486317,-8.3241005,-0.369887537,-41.9188247,0.957603373,0.130297441
Kuwait,0.3765696,-3.8583858,-2.385339386,3.556248745,0.865567975,0.240275983
Kyrgyz Republic,-1.612179,-0.91601145,-0.659262779,2.461143128,0.998568006,0.439624328
Lao PDR,-2.1319077,0.004363051,1.547318404,0.625407286,0.88242656,0.550505305
Latvia,3.1081538,-8.073632,-3.094353574,-15.5656676,0.599918506,0.19306068
Lebanon,-1.0521108,-2.1154594,-0.061022717,-0.529811441,0.820845841,0.049336008
Lesotho,2.5062628,-7.252696,0.166027527,-1.059156244,0.57817008,0.414602761
Liberia,-0.44737068,-2.516798,0.996618712,1.015823238,0.995050997,0.472853112
Libya,-0.84758806,-0.35254633,-2.74592328,0.346427617,0.930701871,0.815819102
Liechtenstein,8.639709,-18.488613,-97.22828697,8.775506609,0.65225448,0.038871373
Lithuania,2.031348,-6.193405,-0.234009056,1.289208522,0.828957194,0.168116265
Luxembourg,5.5273824,-11.919478,-19.62843349,-24.54217619,0.84655114,0.404938194
"Macao SAR, China",5.4007506,-11.705948,14.92500674,-14.40773703,0.995653804,0.71428043
Madagascar,-10.797053,9.392498,3.947118958,0.436814376,0.919169299,0.317364837
Malawi,-8.453359,7.5811014,-5.440211469,-8.20217928,0.962407013,0.162414864
Malaysia,-11.754976,9.845109,2.023074992,1.935993932,0.90891268,0.895195738
Maldives,5.8170276,-12.5469265,-1.43140019,0.590475926,0.993708108,0.788752243
Mali,-9.111723,7.944182,4.054327214,16.35793496,0.225518086,0.297798478
Malta,5.8237824,-12.563303,2.211233182,6.27254471,0.898777248,0.584912606
Marshall Islands,9.465079,-17.821352,3.690185501,0.189034307,0.703207667,0.224357628
Mauritania,0.4371981,-2.890163,1.494192896,0.346427617,0.96463071,0.264367405
Mauritius,4.0482283,-9.6398735,-14.81945141,2.392792523,0.54308969,0.379545314
Mexico,-15.468517,14.977394,-115.7336602,-104.1437143,0.541989623,0.501735289
"Micronesia, Fed. Sts.",7.875504,-16.729317,-0.894810924,53.99209834,0.900301411,0.541473026
Moldova,2.1496143,-6.744606,0.204628443,-15.61939482,0.928510323,0.093832021
Monaco,8.681898,-18.597519,-0.902951847,-75.77241157,0.903902212,0.42806164
Mongolia,2.3725882,-4.881874,25.19577246,-23.09891654,0.979791978,0.034194686
Montenegro,5.554455,-12.038364,30.22820624,-0.325533033,0.986183951,0.272159691
Morocco,-12.272362,10.380034,-126.4634503,6.338895648,0.873606578,0.121211506
Mozambique,-11.255832,9.877801,-30.53689106,1.156993355,0.983434487,0.508251286
Myanmar,-13.83645,12.140892,0.646728492,0.378076351,0.970425809,0.08789015
Namibia,2.812905,-6.1677866,-1.858499288,-0.698596883,0.178055595,0.512853797
Nauru,9.64258,-18.709797,-38.83776938,0.307284607,0.851719696,0.411907316
Nepal,-11.048092,9.480515,11.58538163,-1.031698539,0.877574229,0.253848453
Netherlands,-7.8116775,7.037229,14.08433136,1.83611578,0.365148913,0.43487394
New Caledonia,6.8359985,-14.3698845,-37.90792375,-9.086241308,0.940412923,0.187343952
New Zealand,-0.1893071,-2.473999,-2.046540871,-31.0003026,0.808225466,0.152036841
Nicaragua,-1.748044,-0.6577877,17.90012458,-0.023661993,0.987487198,0.085504203
Niger,-9.942031,8.658427,-25.7645511,-6.817847098,0.487260614,0.75892011
Nigeria,-14.876669,16.24827,1.648498884,1.435315349,0.908639679,0.301934255
North Macedonia,2.835113,-7.6609797,-0.001023008,7.669261119,0.953730346,0.752598713
Northern Mariana Islands,8.7622,-18.022152,-0.696304349,1.935993932,0.425628776,0.776406662
Norway,-0.2555068,-1.9330071,-13.74012386,9.383009251,0.982705341,0.062631004
Oman,0.12521507,-3.3338733,-7.728884105,-0.109974463,0.568281423,0.462201576
Pakistan,-14.793285,16.353497,4.110001978,6.795881257,0.997219449,0.811576059
Palau,9.081707,-18.957361,-1.095179897,0.506425414,0.989239185,0.088923961
Panama,0.24442673,-3.6704142,23.25620634,3.549181623,0.309715568,0.374059347
Papua New Guinea,-4.61768,2.6668732,10.76000983,1.552253395,0.982556601,0.343794666
Paraguay,-1.37995,-0.7317705,-23.38620397,19.81245559,0.487679232,0.861408334
Peru,-11.479046,10.231457,5.89557451,-0.09961966,0.999982888,0.91381292
Philippines,-15.494244,14.651803,29.45977549,-3.806067436,0.811569761,0.652746702
Poland,-12.345499,10.495465,-3.477679336,0.065586548,0.617773937,0.273067642
Portugal,-4.294098,3.3410068,-1.858499288,-19.99652752,0.847171221,0.427510979
Puerto Rico,1.4426391,-5.621084,-12.07760349,14.16220278,0.982410111,0.178187866
Qatar,1.9443271,-6.6609564,3.176818085,0.346427617,0.474539767,0.456047867
Romania,-8.2375555,7.406888,6.547516204,1.313222912,0.93088443,0.62483136
Russian Federation,-15.381823,15.329725,13.29054312,-1.224920757,0.998188638,0.074810093
Rwanda,-6.078923,4.9054236,-3.746612644,11.74429541,0.582848035,0.344231822
Samoa,7.154645,-14.935975,1.760349932,-41.48338661,0.612214892,0.221832125
San Marino,8.765795,-18.69485,-52.65276084,-6.042852583,0.959399159,0.006470022
Sao Tome and Principe,7.1276574,-14.886731,-4.117205004,0.436814376,0.6111842,0.684770642
Saudi Arabia,-11.885059,10.534672,-28.0636084,1.749545795,0.996704722,0.743805843
Senegal,-7.6839423,6.690609,-33.82137999,0.322351812,0.988603269,0.097220481
Serbia,-1.8088112,-0.74230844,0.150875666,-1.059156244,0.809509963,0.561361781
